Price,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
2014-01-01,468.3413391113281,470.01884877213445,465.8456014889585,466.9503066273226,251204
2014-01-02,460.1996154785156,471.1236079475714,457.0901187971727,467.23678703962355,531660
2014-01-03,462.3271484375,464.29103594817946,456.6401053839025,458.2357577433628,1018173
2014-01-06,461.099609375,464.61819445335874,458.39930221922333,463.9635821040373,603727
2014-01-07,457.37664794921875,463.0636919013365,454.9627170695438,460.6906649463187,605461
2014-01-08,457.5401306152344,459.9949644378459,455.780813064874,456.5990910057445,564149
2014-01-09,453.4487609863281,458.23566717486153,453.1623337281093,458.23566717486153,854783
2014-01-10,449.8891906738281,455.739897782523,448.74363155143266,454.430623143573,985783
2014-01-13,446.53436279296875,451.6895047607309,444.7341410098863,450.0529485840616,1488598
2014-01-14,440.56085205078125,449.15277020971433,439.578908558159,446.0432741591239,925057
2014-01-15,446.12506103515625,446.94333882504327,440.3152587607306,440.6425898541705,2060042
2014-01-16,451.7713623046875,452.22145525778427,445.34789858191925,445.9616072157023,1221864
2014-01-17,457.3356018066406,460.69052168511627,452.0986025417881,452.5077415486133,1475015
2014-01-20,454.22607421875,460.1176855013388,448.66179409664176,458.15384836962454,1549558
2014-01-21,458.072021484375,459.0539650882824,449.0709633453891,454.7989094338347,1927455
2014-01-22,463.5135498046875,464.65910895619163,452.4258936896169,459.8312990691032,1892894
2014-01-23,464.04534912109375,466.4183748654396,458.35835801411116,463.96354131351626,856175
2014-01-24,462.981689453125,465.47742740233963,455.4535217498778,460.69052100702186,2366263
2014-01-27,470.71435546875,478.6107570720931,454.226036034165,461.01778246526453,3220246
2014-01-28,466.1728820800781,475.9513119766522,453.7350492797005,475.4194114184058,4204432
2014-01-29,466.09112548828125,470.34618104658745,461.1405536124408,465.60017866928354,1073771
2014-01-30,466.7457275390625,468.7095645050679,457.99014414409703,461.1404940370725,1287033
2014-01-31,466.500244140625,469.52788257567204,462.3270465299676,465.6001583638081,1059275
2014-02-03,466.2138977050781,469.8961487619853,462.16341155373493,465.68199701936766,747170
2014-02-04,466.623046875,469.0369770536293,462.5725606354325,464.8637291320005,1891501
2014-02-05,466.4183044433594,467.4002477046135,459.5447515582894,466.4592083409722,2423902
2014-02-06,479.96087646484375,481.3110549329087,465.02730528118,466.41838765415525,1720369
2014-02-07,472.6783142089844,482.49765036544227,470.46895358503605,480.6565248361064,927008
2014-02-10,461.5088195800781,474.3966988502665,460.40416419155343,471.04177882726447,1255220
2014-02-11,460.240478515625,465.8865668405003,459.7085778295515,462.3270774605512,1580976
2014-02-12,465.96844482421875,466.7048651018168,461.01787261829486,462.2043358339353,1646508
2014-02-13,455.9853210449219,468.05491904476503,454.59423874433253,468.05491904476503,486480
2014-02-14,458.4401550292969,461.0586540784482,452.7531141124795,455.7807520773197,749383
2014-02-17,458.4401550292969,463.145252559718,456.5990299086973,456.5990299086973,380480
2014-02-18,460.0768127441406,463.1453552924564,458.1947833032522,458.2356872151512,237065
2014-02-19,457.171875,460.56769833571326,455.90355423741505,460.281321046772,456096
2014-02-20,453.366943359375,457.3356218658854,452.58956922356543,456.6809594712698,651988
2014-02-21,454.4306335449219,456.1081432752139,451.5666607577994,456.1081432752139,669715
2014-02-24,454.0623779296875,456.3535458149151,452.6712956603198,454.34875518644816,540669
2014-02-25,453.6941833496094,455.698974156703,452.5076704275565,454.55336514015846,541460
